pais_id,pais,provincia_id,provincia,departamento,localidad,rubro,productos,categoria_id,categoria_desc,Certificadora_id,certificadora_deno,razón social,establecimiento
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,ZAPALLO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,ZAPALLO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,FRUTICULTURA,INCULTO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,LOS CARDALES,INDEFINIDA,HORTICULTURA,INCULTO,1,Productores,2,OIA S.A.,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,AUTOSOL PARTS S.A.,SAN JOSE
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,AUTOSOL PARTS S.A.,SAN JOSE
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,FRUTICULTURA,DESCANSO,1,Productores,2,OIA S.A.,AUTOSOL PARTS S.A.,SAN JOSE
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,INDEFINIDA,HORTICULTURA,DESCANSO,1,Productores,2,OIA S.A.,AUTOSOL PARTS S.A.,SAN JOSE
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,BANDERITAS S.A.,JUAN ALBERTO
32,ARGENTINA,6,BUENOS AIRES,AZUL,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,BANDERITAS S.A.,JUAN ALBERTO
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,LINO DORADO,1,Productores,3,Letis S.A.,BANDERITAS S.A.,SANTA RITA
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,BANDERITAS S.A.,SANTA RITA
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,BANDERITAS S.A.,LA COLORADA
32,ARGENTINA,6,BUENOS AIRES,BENITO JUAREZ,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,BANDERITAS S.A.,LA COLORADA
