promedio_anual,desvio,nombre_provincia,anio
139238.38,59940.28,BUENOS AIRES,2023
104059.45,58680.81,BUENOS AIRES,2022
60660.13,30518.11,BUENOS AIRES,2021
41914.78,20490.81,BUENOS AIRES,2020
27932.15,14635.68,BUENOS AIRES,2019
19080.94,10304.67,BUENOS AIRES,2018
15172.2,8133.86,BUENOS AIRES,2017
11667.56,6242.81,BUENOS AIRES,2016
8501.46,4578.93,BUENOS AIRES,2015
6488.14,3521.92,BUENOS AIRES,2014
