promedio_anual,desvio,nombre_provincia,anio
145839.11,86654.4,MENDOZA,2023
107352.1,72913.94,MENDOZA,2022
62577.92,38481.87,MENDOZA,2021
43055.27,26423.94,MENDOZA,2020
28670.5,18145.71,MENDOZA,2019
19645.01,12838.3,MENDOZA,2018
15757.34,11290.04,MENDOZA,2017
12151.57,7963.05,MENDOZA,2016
8914.27,6026.22,MENDOZA,2015
6746.44,4518.92,MENDOZA,2014
